A침os,Salm칩n Atl치ntico (Kg),Salm칩n Coho (Kg),Trucha (Kg)
2025,4146800,754000,1319400
2026,4291900,780400,1365600
2027,4442100,807600,1413400
2028,4597600,835900,1462900
2029,4758500,865200,1514100
2030,4925100,895500,1567100
2031,5097500,926800,1621900
2032,5275900,959300,1678700
2033,5460500,992800,1737400
2034,5651600,1027600,1798300
2035,5849400,1063600,1861200
2036,6054200,1100800,1926400
2037,6266100,1139300,1993800
2038,6485400,1179200,2063500
2039,6712400,1220500,2135800
2040,6947300,1263100,2210500
2041,7190400,1307400,2287900
2042,7442100,1353100,2368000
2043,7702600,1400500,2450800
2044,7972200,1449500,2536600
2045,8251200,1500200,2625400
2046,8540000,1552700,2717300
2047,8838900,1607100,2812400
2048,9148300,1663300,2910800
2049,9468400,1721500,3012700
2050,9799900,1781800,3118100