CA,s,t,p,a
0.0,0,0,0,0
19506849.31506849,0,0,0,1
0.0,0,0,0,2
0.0,0,0,1,0
8800000.0,0,0,1,1
0.0,0,0,1,2
189203868.3327397,0,0,2,0
130158056.9287672,0,0,2,1
0.0,0,0,2,2
0.0,1,0,0,0
19506849.31506849,1,0,0,1
0.0,1,0,0,2
0.0,1,0,1,0
8800000.0,1,0,1,1
0.0,1,0,1,2
189203868.3327397,1,0,2,0
130158056.9287672,1,0,2,1
0.0,1,0,2,2
0.0,2,0,0,0
9558356.164383562,2,0,0,1
0.0,2,0,0,2
0.0,2,0,1,0
17600000.0,2,0,1,1
0.0,2,0,1,2
164766751.45808217,2,0,2,0
126879704.51835635,2,0,2,1
0.0,2,0,2,2
0.0,0,1,0,0
21067397.260273974,0,1,0,1
0.0,0,1,0,2
0.0,0,1,1,0
9504000.0,0,1,1,1
0.0,0,1,1,2
210796131.6672603,0,1,2,0
210963696.49589032,0,1,2,1
400000000.0,0,1,2,2
0.0,1,1,0,0
21067397.260273974,1,1,0,1
0.0,1,1,0,2
0.0,1,1,1,0
9504000.0,1,1,1,1
0.0,1,1,1,2
210796131.6672603,1,1,2,0
210963696.49589032,1,1,2,1
400000000.0,1,1,2,2
0.0,2,1,0,0
0.0,2,1,0,1
0.0,2,1,0,2
0.0,2,1,1,0
27808000.0,2,1,1,1
0.0,2,1,1,2
235233248.54191783,2,1,2,0
218153939.31726006,2,1,2,1
400000000.0,2,1,2,2
0.0,0,2,0,0
24313336.986301374,0,2,0,1
0.0,0,2,0,2
0.0,0,2,1,0
10968320.0,0,2,1,1
0.0,0,2,1,2
189203868.3327397,0,2,2,0
123183249.25753431,0,2,2,1
0.0,0,2,2,2
0.0,1,2,0,0
24313336.986301374,1,2,0,1
0.0,1,2,0,2
0.0,1,2,1,0
10968320.0,1,2,1,1
0.0,1,2,1,2
189203868.3327397,1,2,2,0
123183249.25753431,1,2,2,1
0.0,1,2,2,2
0.0,2,2,0,0
811484.9315068498,2,2,0,1
0.0,2,2,0,2
0.0,2,2,1,0
30736640.0,2,2,1,1
0.0,2,2,1,2
164766751.45808217,2,2,2,0
122489935.75123307,2,2,2,1
0.0,2,2,2,2
0.0,0,3,0,0
27818951.89041096,0,3,0,1
0.0,0,3,0,2
0.0,0,3,1,0
12549785.599999998,0,3,1,1
0.0,0,3,1,2
210796131.6672603,0,3,2,0
201166356.26575333,0,3,2,1
400000000.0,0,3,2,2
0.0,1,3,0,0
27818951.89041096,1,3,0,1
0.0,1,3,0,2
0.0,1,3,1,0
12549785.599999998,1,3,1,1
0.0,1,3,1,2
210796131.6672603,1,3,2,0
201166356.26575333,1,3,2,1
400000000.0,1,3,2,2
0.0,2,3,0,0
1687888.6575342435,2,3,0,1
0.0,2,3,0,2
0.0,2,3,1,0
33899571.199999996,2,3,1,1
0.0,2,3,1,2
235233248.54191783,2,3,2,0
210374479.45972586,2,3,2,1
400000000.0,2,3,2,2
0.0,0,4,0,0
31605015.791780822,0,4,0,1
0.0,0,4,0,2
0.0,0,4,1,0
14257768.359999996,0,4,1,1
0.0,0,4,1,2
189203868.3327397,0,4,2,0
112602122.09205487,0,4,2,1
0.0,0,4,2,2
0.0,1,4,0,0
31605015.791780822,1,4,0,1
0.0,1,4,0,2
0.0,1,4,1,0
14257768.359999996,1,4,1,1
0.0,1,4,1,2
189203868.3327397,1,4,2,0
112602122.09205487,1,4,2,1
0.0,1,4,2,2
0.0,2,4,0,0
2634404.876712328,2,4,0,1
0.0,2,4,0,2
0.0,2,4,1,0
37315536.71999999,2,4,1,1
0.0,2,4,1,2
164766751.45808217,2,4,2,0
114088119.08602762,2,4,2,1
0.0,2,4,2,2
0.0,0,5,0,0
35693964.98082192,0,5,0,1
0.0,0,5,0,2
0.0,0,5,1,0
16102390.04,0,5,1,1
0.0,0,5,1,2
210796131.6672603,0,5,2,0
189738738.73534238,0,5,2,1
400000000.0,0,5,2,2
0.0,1,5,0,0
35693964.98082192,1,5,0,1
0.0,1,5,0,2
0.0,1,5,1,0
16102390.04,1,5,1,1
0.0,1,5,1,2
210796131.6672603,1,5,2,0
189738738.73534238,1,5,2,1
400000000.0,1,5,2,2
0.0,2,5,0,0
3656642.2958904086,2,5,0,1
0.0,2,5,0,2
0.0,2,5,1,0
41004779.63999999,2,5,1,1
0.0,2,5,1,2
235233248.54191783,2,5,2,0
201300517.38136968,2,5,2,1
400000000.0,2,5,2,2
0.0,0,6,0,0
40110030.3780822,0,6,0,1
0.0,0,6,0,2
0.0,0,6,1,0
18094581.119999997,0,6,1,1
0.0,0,6,1,2
189203868.3327397,0,6,2,0
100260294.74575345,0,6,2,1
0.0,0,6,2,2
0.0,1,6,0,0
40110030.3780822,1,6,0,1
0.0,1,6,0,2
0.0,1,6,1,0
18094581.119999997,1,6,1,1
0.0,1,6,1,2
189203868.3327397,1,6,2,0
100260294.74575345,1,6,2,1
0.0,1,6,2,2
0.0,2,6,0,0
4760658.2794520585,2,6,0,1
0.0,2,6,0,2
0.0,2,6,1,0
44989162.239999995,2,6,1,1
0.0,2,6,1,2
164766751.45808217,2,6,2,0
104288240.16328783,2,6,2,1
0.0,2,6,2,2
0.0,0,7,0,0
44879380.909589045,0,7,0,1
0.0,0,7,0,2
0.0,0,7,1,0
20246147.24,0,7,1,1
0.0,0,7,1,2
210796131.6672603,0,7,2,0
176409565.60657528,0,7,2,1
400000000.0,0,7,2,2
0.0,1,7,0,0
44879380.909589045,1,7,0,1
0.0,1,7,0,2
0.0,1,7,1,0
20246147.24,1,7,1,1
0.0,1,7,1,2
210796131.6672603,1,7,2,0
176409565.60657528,1,7,2,1
400000000.0,1,7,2,2
0.0,2,7,0,0
5952995.912328772,2,7,0,1
0.0,2,7,0,2
0.0,2,7,1,0
49292295.35999999,2,7,1,1
0.0,2,7,1,2
235233248.54191783,2,7,2,0
190716648.04493132,2,7,2,1
400000000.0,2,7,2,2
0.0,0,8,0,0
50030279.073972605,0,8,0,1
0.0,0,8,0,2
0.0,0,8,1,0
22569839.16,0,8,1,1
0.0,0,8,1,2
189203868.3327397,0,8,2,0
85864788.00986299,0,8,2,1
0.0,0,8,2,2
0.0,1,8,0,0
50030279.073972605,1,8,0,1
0.0,1,8,0,2
0.0,1,8,1,0
22569839.16,1,8,1,1
0.0,1,8,1,2
189203868.3327397,1,8,2,0
85864788.00986299,1,8,2,1
0.0,1,8,2,2
0.0,2,8,0,0
7240720.575342467,2,8,0,1
0.0,2,8,0,2
0.0,2,8,1,0
53939678.75999999,2,8,1,1
0.0,2,8,1,2
164766751.45808217,2,8,2,0
92857661.34739746,2,8,2,1
0.0,2,8,2,2
0.0,0,9,0,0
55593249.18904109,0,9,0,1
0.0,0,9,0,2
0.0,0,9,1,0
25079426.68,0,9,1,1
0.0,0,9,1,2
210796131.6672603,0,9,2,0
160862417.88712332,0,9,2,1
400000000.0,0,9,2,2
0.0,1,9,0,0
55593249.18904109,1,9,0,1
0.0,1,9,0,2
0.0,1,9,1,0
25079426.68,1,9,1,1
0.0,1,9,1,2
210796131.6672603,1,9,2,0
160862417.88712332,1,9,2,1
400000000.0,1,9,2,2
0.0,2,9,0,0
8631462.860273974,2,9,0,1
0.0,2,9,0,2
0.0,2,9,1,0
58958852.919999994,2,9,1,1
0.0,2,9,1,2
235233248.54191783,2,9,2,0
178371623.5369861,2,9,2,1
400000000.0,2,9,2,2
0.0,0,10,0,0
61601257.34246576,0,10,0,1
0.0,0,10,0,2
0.0,0,10,1,0
27789780.919999994,0,10,1,1
0.0,0,10,1,2
189203868.3327397,0,10,2,0
69073867.98136978,0,10,2,1
0.0,0,10,2,2
0.0,1,10,0,0
61601257.34246576,1,10,0,1
0.0,1,10,0,2
0.0,1,10,1,0
27789780.919999994,1,10,1,1
0.0,1,10,1,2
189203868.3327397,1,10,2,0
69073867.98136978,1,10,2,1
0.0,1,10,2,2
0.0,2,10,0,0
10133464.898630138,2,10,0,1
0.0,2,10,0,2
0.0,2,10,1,0
64379561.39999999,2,10,1,1
0.0,2,10,1,2
164766751.45808217,2,10,2,0
79525034.3841098,2,10,2,1
0.0,2,10,2,2
0.0,0,11,0,0
68089905.97260274,0,11,0,1
0.0,0,11,0,2
0.0,0,11,1,0
30716963.199999996,0,11,1,1
0.0,0,11,1,2
210796131.6672603,0,11,2,0
142728224.5835617,0,11,2,1
400000000.0,0,11,2,2
0.0,1,11,0,0
68089905.97260274,1,11,0,1
0.0,1,11,0,2
0.0,1,11,1,0
30716963.199999996,1,11,1,1
0.0,1,11,1,2
210796131.6672603,1,11,2,0
142728224.5835617,1,11,2,1
400000000.0,1,11,2,2
0.0,2,11,0,0
11755627.178082196,2,11,0,1
0.0,2,11,0,2
0.0,2,11,1,0
70233926.39999999,2,11,1,1
0.0,2,11,1,2
235233248.54191783,2,11,2,0
163972385.7391779,2,11,2,1
400000000.0,2,11,2,2
0.0,0,12,0,0
75097646.4931507,0,12,0,1
0.0,0,12,0,2
0.0,0,12,1,0
33878320.07999999,0,12,1,1
0.0,0,12,1,2
189203868.3327397,0,12,2,0
49488939.67068489,0,12,2,1
0.0,0,12,2,2
0.0,1,12,0,0
75097646.4931507,1,12,0,1
0.0,1,12,0,2
0.0,1,12,1,0
33878320.07999999,1,12,1,1
0.0,1,12,1,2
189203868.3327397,1,12,2,0
49488939.67068489,1,12,2,1
0.0,1,12,2,2
0.0,2,12,0,0
13507562.186301373,2,12,0,1
0.0,2,12,0,2
0.0,2,12,1,0
76556640.59999998,2,12,1,1
0.0,2,12,1,2
164766751.45808217,2,12,2,0
63973857.89643852,2,12,2,1
0.0,2,12,2,2
0.0,0,13,0,0
82666006.06027398,0,13,0,1
0.0,0,13,0,2
0.0,0,13,1,0
37292585.879999995,0,13,1,1
0.0,0,13,1,2
210796131.6672603,0,13,2,0
121576501.8158904,0,13,2,1
400000000.0,0,13,2,2
0.0,1,13,0,0
82666006.06027398,1,13,0,1
0.0,1,13,0,2
0.0,1,13,1,0
37292585.879999995,1,13,1,1
0.0,1,13,1,2
210796131.6672603,1,13,2,0
121576501.8158904,1,13,2,1
400000000.0,1,13,2,2
0.0,2,13,0,0
15399651.95616439,2,13,0,1
0.0,2,13,0,2
0.0,2,13,1,0
83385171.75999999,2,13,1,1
0.0,2,13,1,2
235233248.54191783,2,13,2,0
147177115.60109577,2,13,2,1
400000000.0,2,13,2,2
0.0,0,14,0,0
90839834.33424659,0,14,0,1
0.0,0,14,0,2
0.0,0,14,1,0
40979992.68,0,14,1,1
0.0,0,14,1,2
189203868.3327397,0,14,2,0
26645079.22958903,0,14,2,1
0.0,0,14,2,2
0.0,1,14,0,0
90839834.33424659,1,14,0,1
0.0,1,14,0,2
0.0,1,14,1,0
40979992.68,1,14,1,1
0.0,1,14,1,2
189203868.3327397,1,14,2,0
26645079.22958903,1,14,2,1
0.0,1,14,2,2
0.0,2,14,0,0
17443109.024657536,2,14,0,1
0.0,2,14,0,2
0.0,2,14,1,0
90759985.36,2,14,1,1
0.0,2,14,1,2
164766751.45808217,2,14,2,0
45834966.29808226,2,14,2,1
0.0,2,14,2,2
0.0,0,15,0,0
99667569.26027398,0,15,0,1
0.0,0,15,0,2
0.0,0,15,1,0
44962391.76,0,15,1,1
0.0,0,15,1,2
210796131.6672603,0,15,2,0
96905132.73589039,0,15,2,1
400000000.0,0,15,2,2
0.0,1,15,0,0
99667569.26027398,1,15,0,1
0.0,1,15,0,2
0.0,1,15,1,0
44962391.76,1,15,1,1
0.0,1,15,1,2
210796131.6672603,1,15,2,0
96905132.73589039,1,15,2,1
400000000.0,1,15,2,2
0.0,2,15,0,0
19650042.756164383,2,15,0,1
0.0,2,15,0,2
0.0,2,15,1,0
98724784.39999999,2,15,1,1
0.0,2,15,1,2
235233248.54191783,2,15,2,0
127587112.16109584,2,15,2,1
400000000.0,2,15,2,2
0.0,0,16,0,0
109201522.84383562,0,16,0,1
0.0,0,16,0,2
0.0,0,16,1,0
49263383.4,0,16,1,1
0.0,0,16,1,2
189203868.3327397,0,16,2,0
0.0,0,16,2,1
0.0,0,16,2,2
0.0,1,16,0,0
109201522.84383562,1,16,0,1
0.0,1,16,0,2
0.0,1,16,1,0
49263383.4,1,16,1,1
0.0,1,16,1,2
189203868.3327397,1,16,2,0
0.0,1,16,2,1
0.0,1,16,2,2
0.0,2,16,0,0
22033531.030136988,2,16,0,1
0.0,2,16,0,2
0.0,2,16,1,0
107326767.24,2,16,1,1
0.0,2,16,1,2
164766751.45808217,2,16,2,0
24677762.412602752,2,16,2,1
0.0,2,16,2,2
0.0,0,17,0,0
119498192.28493151,0,17,0,1
0.0,0,17,0,2
0.0,0,17,1,0
53908454.15999999,0,17,1,1
0.0,0,17,1,2
210796131.6672603,0,17,2,0
68128447.31123285,0,17,2,1
400000000.0,0,17,2,2
0.0,1,17,0,0
119498192.28493151,1,17,0,1
0.0,1,17,0,2
0.0,1,17,1,0
53908454.15999999,1,17,1,1
0.0,1,17,1,2
210796131.6672603,1,17,2,0
68128447.31123285,1,17,2,1
400000000.0,1,17,2,2
0.0,2,17,0,0
24607698.756164387,2,17,0,1
0.0,2,17,0,2
0.0,2,17,1,0
116616908.31999998,2,17,1,1
0.0,2,17,1,2
235233248.54191783,2,17,2,0
104737332.24109589,2,17,2,1
400000000.0,2,17,2,2
0.0,0,18,0,0
130618595.49589041,0,18,0,1
0.0,0,18,0,2
31078819.692054745,0,18,1,0
27846310.74794525,0,18,1,1
0.0,0,18,1,2
158125048.64068496,0,18,2,0
0.0,0,18,2,1
0.0,0,18,2,2
0.0,1,18,0,0
130618595.49589041,1,18,0,1
0.0,1,18,0,2
31078819.692054745,1,18,1,0
27846310.74794525,1,18,1,1
0.0,1,18,1,2
158125048.64068496,1,18,2,0
0.0,1,18,2,1
0.0,1,18,2,2
0.0,2,18,0,0
27387799.802739732,2,18,0,1
0.0,2,18,0,2
0.0,2,18,1,0
126650260.88,2,18,1,1
0.0,2,18,1,2
164766751.45808217,2,18,2,0
0.0,2,18,2,1
0.0,2,18,2,2
0.0,0,19,0,0
142628631.00273973,0,19,0,1
0.0,0,19,0,2
0.0,0,19,1,0
64343140.839999996,0,19,1,1
0.0,0,19,1,2
210796131.6672603,0,19,2,0
34563321.91342464,0,19,2,1
400000000.0,0,19,2,2
0.0,1,19,0,0
142628631.00273973,1,19,0,1
0.0,1,19,0,2
0.0,1,19,1,0
64343140.839999996,1,19,1,1
0.0,1,19,1,2
210796131.6672603,1,19,2,0
34563321.91342464,1,19,2,1
400000000.0,1,19,2,2
0.0,2,19,0,0
30390308.679452058,2,19,0,1
0.0,2,19,0,2
0.0,2,19,1,0
137486281.67999998,2,19,1,1
0.0,2,19,1,2
235233248.54191783,2,19,2,0
78085348.9578082,2,19,2,1
400000000.0,2,19,2,2
0.0,0,20,0,0
155599469.5452055,0,20,0,1
0.0,0,20,0,2
67329155.46136987,0,20,1,0
2865436.6986301243,0,20,1,1
0.0,0,20,1,2
121874712.87136984,0,20,2,0
0.0,0,20,2,1
0.0,0,20,2,2
0.0,1,20,0,0
155599469.5452055,1,20,0,1
0.0,1,20,0,2
67329155.46136987,1,20,1,0
2865436.6986301243,1,20,1,1
0.0,1,20,1,2
121874712.87136984,1,20,2,0
0.0,1,20,2,1
0.0,1,20,2,2
0.0,2,20,0,0
33633018.07123288,2,20,0,1
0.0,2,20,0,2
28784141.70849312,2,20,1,0
120405042.61150688,2,20,1,1
0.0,2,20,1,2
135982609.74958906,2,20,2,0
0.0,2,20,2,1
0.0,2,20,2,2
0.0,0,21,0,0
169607975.42465752,0,21,0,1
0.0,0,21,0,2
4587041.14849315,0,21,1,0
71927118.33150685,0,21,1,1
0.0,0,21,1,2
206209090.51876712,0,21,2,0
0.0,0,21,2,1
400000000.0,0,21,2,2
0.0,1,21,0,0
169607975.42465752,1,21,0,1
0.0,1,21,0,2
4587041.14849315,1,21,1,0
71927118.33150685,1,21,1,1
0.0,1,21,1,2
206209090.51876712,1,21,2,0
0.0,1,21,2,1
400000000.0,1,21,2,2
0.0,2,21,0,0
37135144.17534247,2,21,0,1
0.0,2,21,0,2
0.0,2,21,1,0
161828319.39999998,2,21,1,1
0.0,2,21,1,2
235233248.54191783,2,21,2,0
46998475.74191776,2,21,2,1
400000000.0,2,21,2,2
26272255.257534217,0,22,0,0
158464906.24383563,0,22,0,1
0.0,0,22,0,2
83339292.08,0,22,1,0
0.0,0,22,1,1
0.0,0,22,1,2
79592320.99520546,0,22,2,0
0.0,0,22,2,1
0.0,0,22,2,2
26272255.257534217,1,22,0,0
158464906.24383563,1,22,0,1
0.0,1,22,0,2
83339292.08,1,22,1,0
0.0,1,22,1,1
0.0,1,22,1,2
79592320.99520546,1,22,2,0
0.0,1,22,2,1
0.0,1,22,2,2
0.0,2,22,0,0
40917440.81643836,2,22,0,1
0.0,2,22,0,2
62357965.173698604,2,22,1,0
113120619.86630139,2,22,1,1
0.0,2,22,1,2
102408786.28438357,2,22,2,0
0.0,2,22,2,1
0.0,2,22,2,2
0.0,0,23,0,0
201076682.230137,0,23,0,1
0.0,0,23,0,2
50252024.11397261,0,23,1,0
40458411.52602738,0,23,1,1
0.0,0,23,1,2
160544107.55328768,0,23,2,0
0.0,0,23,2,1
400000000.0,0,23,2,2
0.0,1,23,0,0
201076682.230137,1,23,0,1
0.0,1,23,0,2
50252024.11397261,1,23,1,0
40458411.52602738,1,23,1,1
0.0,1,23,1,2
160544107.55328768,1,23,2,0
0.0,1,23,2,1
400000000.0,1,23,2,2
0.0,2,23,0,0
45002320.87671233,2,23,0,1
0.0,2,23,0,2
0.0,2,23,1,0
190220871.71999997,2,23,1,1
0.0,2,23,1,2
235233248.54191783,2,23,2,0
10738746.72054796,2,23,2,1
400000000.0,2,23,2,2
60258458.00273971,0,24,0,0
158464906.24383563,0,24,0,1
0.0,0,24,0,2
98671270.71999998,0,24,1,0
0.0,0,24,1,1
0.0,0,24,1,2
30274139.61,0,24,2,0
0.0,0,24,2,1
0.0,0,24,2,2
60258458.00273971,1,24,0,0
158464906.24383563,1,24,0,1
0.0,1,24,0,2
98671270.71999998,1,24,1,0
0.0,1,24,1,1
0.0,1,24,1,2
30274139.61,1,24,2,0
0.0,1,24,2,1
0.0,1,24,2,2
0.0,2,24,0,0
49413991.38082192,2,24,0,1
0.0,2,24,0,2
101518471.69808218,2,24,1,0
104624069.30191779,2,24,1,1
0.0,2,24,1,2
63248279.76,2,24,2,0
0.0,2,24,2,1
0.0,2,24,2,2
